item_id,categoria,nombre_de_producto,precio_de_producto,descuento,url_producto 
439373PH,Parkas Hombre,Parka Icono Hombre,$29.990,$0,https://www.lapolar.cl/parka-icono-hombre/439373.html
439372PH,Parkas Hombre,Chaqueta Icono Hombre,$34.990,$0,https://www.lapolar.cl/chaqueta-icono-hombre/439372.html
439375PH,Parkas Hombre,Parka Cutback Hombre Rider,$39.990,$0,https://www.lapolar.cl/parka-cutback-hombre-rider/439375.html
439002PH,Parkas Hombre,Parka Portman Club Hombre,$24.990,$0,https://www.lapolar.cl/parka-portman-club-hombre/439002.html
439374PH,Parkas Hombre,Parka Hombre Icono,$29.990,$0,https://www.lapolar.cl/parka-hombre-icono/439374.html
439148PH,Parkas Hombre,Chaqueta Zibel Hombre Biker,$39.990,$0,https://www.lapolar.cl/chaqueta-zibel-hombre-biker/439148.html
439159PH,Parkas Hombre,Parka Zibel Hombre Basica,$39.990,$0,https://www.lapolar.cl/parka-zibel-hombre-basica/439159.html
439353PH,Parkas Hombre,Parka Fiorucci Hombre Juga,$24.990,$20.000,https://www.lapolar.cl/parka-fiorucci-hombre-juga/439353.html
439352PH,Parkas Hombre,Chaqueta Fiorucci Hombre,$17.450,$17.540,https://www.lapolar.cl/chaqueta-fiorucci-hombre/439352.html
439133PH,Parkas Hombre,Veston Zibel Hombre Retro,$44.990,$0,https://www.lapolar.cl/veston-zibel-hombre-retro/439133.html
441246PM,Parkas Mujer,Parka Fiorucci Mujer M38ICL9559,$34.990,$0,https://www.lapolar.cl/parka-fiorucci-mujer-m38icl9559/441246.html
441247PM,Parkas Mujer,Parka Icono Mujer,$29.990,$0,https://www.lapolar.cl/parka-icono-mujer/441247.html
439971PM,Parkas Mujer,Chaqueta Icono Mujer Paño,$36.990,$0,https://www.lapolar.cl/chaqueta-icono-mujer-pano/439971.html
440101PM,Parkas Mujer,Chaqueta Fiorucci Mujer Larga,$44.990,$0,https://www.lapolar.cl/chaqueta-fiorucci-mujer-larga/440101.html
438864PM,Parkas Mujer,Parka Icono Mujer,$26.990,$0,https://www.lapolar.cl/parka-icono-mujer/438864.html
439099PM,Parkas Mujer,Abrigo Extralindas Mujer Zipper,$44.990,$0,https://www.lapolar.cl/abrigo-extralindas-mujer-zipper/439099.html
439897PM,Parkas Mujer,Parka Mujer Zibel,$32.990,$0,https://www.lapolar.cl/parka-mujer-zibel/439897.html
439834PM,Parkas Mujer,Chaqueta Alma Mujer,$49.990,$0,https://www.lapolar.cl/chaqueta-alma-mujer/439834.html
439409PM,Parkas Mujer,Parka Basica Extralindas,$49.990,$0,https://www.lapolar.cl/parka-basica-extralindas/439409.html
440734PM,Parkas Mujer,Parka Icono Mujer Larga,$39.990,$0,https://www.lapolar.cl/parka-icono-mujer-larga/440734.html
440091PM,Parkas Mujer,Parka Fiorucci Mujer,$49.990,$0,https://www.lapolar.cl/parka-fiorucci-mujer/440091.html
432601PM,Parkas Mujer,Parka Icono Mujer Silicon Padding,$32.990,$0,https://www.lapolar.cl/parka-icono-mujer-silicon-padding/432601.html
440074PM,Parkas Mujer,Chaqueta Fiorucci Mujer M38IBR9517,$29.990,$0,https://www.lapolar.cl/chaqueta-fiorucci-mujer-m38ibr9517/440074.html
439885PM,Parkas Mujer,Chaqueta Zibel Mujer,$32.990,$0,https://www.lapolar.cl/chaqueta-zibel-mujer/439885.html
439954PM,Parkas Mujer,Blazer Zibel Mujer,$34.990,$0,https://www.lapolar.cl/blazer-zibel-mujer/439954.html
441598PM,Parkas Mujer,Chaqueta Icono Mujer M38IBE9125,$36.990,$0,https://www.lapolar.cl/chaqueta-icono-mujer-m38ibe9125/441598.html
431567PM,Parkas Mujer,Parka Zibel Mujer Pluma,$36.990,$0,https://www.lapolar.cl/parka-zibel-mujer-pluma/431567.html
440731PM,Parkas Mujer,Chaqueta Icono Mujer M38IPS9214,$39.990,$0,https://www.lapolar.cl/chaqueta-icono-mujer-m38ips9214/440731.html
432419PM,Parkas Mujer,Parka Extralindas Mujer Botones,$29.990,$0,https://www.lapolar.cl/parka-extralindas-mujer-botones/432419.html
440753PM,Parkas Mujer,Chaqueta Icono Mujer M38IPS9126,$39.990,$0,https://www.lapolar.cl/chaqueta-icono-mujer-m38ips9126/440753.html
439408PM,Parkas Mujer,Gabardina Extralindas Mujer Argolla,$29.990,$0,https://www.lapolar.cl/gabardina-extralindas-mujer-argolla/439408.html
433795PM,Parkas Mujer,Gabardina Zibel Mujer Trench Coat,$29.990,$0,https://www.lapolar.cl/gabardina-zibel-mujer-trench-coat/433795.html
440073PM,Parkas Mujer,Chaqueta Fiorucci Mujer M38IBR9561,$36.990,$0,https://www.lapolar.cl/chaqueta-fiorucci-mujer-m38ibr9561/440073.html
440727PM,Parkas Mujer,Chaqueta Icono Mujer Larga,$32.990,$0,https://www.lapolar.cl/chaqueta-icono-mujer-larga/440727.html
438863PM,Parkas Mujer,Blazer Fiorucci Mujer Check Largo,$34.990,$0,https://www.lapolar.cl/blazer-fiorucci-mujer-check-largo/438863.html
440726PM,Parkas Mujer,Chaqueta Fiorucci Mujer M38IPS9545,$29.990,$0,https://www.lapolar.cl/chaqueta-fiorucci-mujer-m38ips9545/440726.html
439946PM,Parkas Mujer,Blazer Zibel Mujer M19IYY9167,$34.990,$0,https://www.lapolar.cl/blazer-zibel-mujer-m19iyy9167/439946.html
440100PM,Parkas Mujer,Parka Fiorucci Mujer M38IYY9544,$29.990,$0,https://www.lapolar.cl/parka-fiorucci-mujer-m38iyy9544/440100.html
432417PM,Parkas Mujer,Blazer Extralindas Mujer Bolsillo Cierre,$26.990,$0,https://www.lapolar.cl/blazer-extralindas-mujer-bolsillo-cierre/432417.html
440736PM,Parkas Mujer,Chaqueta Icono Mujer,$39.990,$0,https://www.lapolar.cl/chaqueta-icono-mujer/440736.html
439883PM,Parkas Mujer,Abrigo Zibel Mujer Animal Print,$29.990,$0,https://www.lapolar.cl/abrigo-zibel-mujer-animal-print/439883.html
442650PM,Parkas Mujer,Chaqueta Montgome Mujer,$24.990,$0,https://www.lapolar.cl/chaqueta-montgome-mujer/442650.html
442585PM,Parkas Mujer,Chaqueta Mujer Zibel Mao,$29.990,$0,https://www.lapolar.cl/chaqueta-mujer-zibel-mao/442585.html
442484PM,Parkas Mujer,Chaqueta Larga Icono,$29.990,$0,https://www.lapolar.cl/chaqueta-larga-icono/442484.html
442486PM,Parkas Mujer,Chaqueta Cotelon Mujer,$34.990,$0,https://www.lapolar.cl/chaqueta-cotelon-mujer/442486.html
442481PM,Parkas Mujer,Chaqueta Bicolor Fiorucci,$26.990,$0,https://www.lapolar.cl/chaqueta-bicolor-fiorucci/442481.html
